epoch,train_loss,train_ppl,val_loss,val_ppl,experiment,label
1,7.17701661884487,1308.9971894948926,6.43244071893084,621.689467033681,gelu105,gelu105
2,6.389258405188104,595.4148593488861,5.954470590501801,385.47278369642055,gelu105,gelu105
3,6.016815963444057,410.2701985298676,5.732040946764062,308.5984591131285,gelu105,gelu105
4,5.793535944703337,328.1713710654649,5.574929076374309,263.7308502255144,gelu105,gelu105
5,5.620290197454371,275.9694572495607,5.482296758267523,240.3982103744569,gelu105,gelu105
1,7.158366645370926,1284.8106666831231,6.361828015614898,579.3043664973429,gelu106,gelu106
2,6.298003849330601,543.4859467768241,5.880282423304284,357.9103096484984,gelu106,gelu106
3,5.935053668179354,378.0602854344003,5.659489006098428,287.00194883385427,gelu106,gelu106
4,5.71134126865185,302.2762301382857,5.531943116706134,252.63433238803856,gelu106,gelu106
5,5.537933487754006,254.15224767723615,5.4337224343764285,229.0000986583025,gelu106,gelu106
6,5.402339103100421,221.92491481322585,5.358749324852248,212.45906294731725,gelu106,gelu106
7,5.29125738810826,198.5929769325224,5.311576051006985,202.66939411402856,gelu106,gelu106
8,5.201599906612705,181.56249265878816,5.2803539574699325,196.4393942386877,gelu106,gelu106
9,5.125595859714322,168.2743797087906,5.248551415383762,190.29041693913788,gelu106,gelu106
10,5.064923792333155,158.3683727296114,5.22635630468022,186.11342593033237,gelu106,gelu106
11,5.017827758541355,151.08275885130683,5.210100758257686,183.11250736145175,gelu106,gelu106
12,4.981129428604385,145.63877740060894,5.197072002852758,180.7422535488602,gelu106,gelu106
13,4.955778033345134,141.99303872626706,5.191500092723062,179.73797443019564,gelu106,gelu106
14,4.939365421737229,139.6815825339092,5.188291203722344,179.16213961015816,gelu106,gelu106
15,4.932572815920804,138.7359957388625,5.18629396678944,178.80466746506423,gelu106,gelu106
1,7.132951486360777,1252.5684552563398,6.346416210493118,570.4446876810099,gelu107,gelu107
2,6.292479782790452,540.4919713165281,5.896848872406545,363.8889986645081,gelu107,gelu107
3,5.946305059171937,382.338009570312,5.6766053414994175,291.95665267326,gelu107,gelu107
4,5.725923839744393,306.716491280391,5.537130095365696,253.94814569394836,gelu107,gelu107
5,5.5560350580053495,258.7946934583872,5.452852388300321,233.4230303518976,gelu107,gelu107
6,5.423373644406741,226.64244520596904,5.380059396103805,217.03516608537032,gelu107,gelu107
7,5.314834787176324,203.3309174786908,5.331097160974187,206.6645941417116,gelu107,gelu107
8,5.224798697929878,185.82376005310104,5.284495105360911,197.2545655293252,gelu107,gelu107
9,5.150843999007127,172.57708375519522,5.270223516934077,194.4594225621094,gelu107,gelu107
10,5.091169859860446,162.57994659931032,5.235359270963009,187.796564078097,gelu107,gelu107
11,5.044901255722884,155.228970469084,5.227253277335328,186.28043947623456,gelu107,gelu107
12,5.008671110802954,149.70566166785218,5.211349720799327,183.3413509028099,gelu107,gelu107
13,4.984246867996353,146.09350588825518,5.205334679376076,182.2418551538161,gelu107,gelu107
14,4.967877769565487,143.7215532364479,5.201972600622328,181.63017252333103,gelu107,gelu107
15,4.960758484565057,142.70199211764438,5.201495942010454,181.5436175676429,gelu107,gelu107
1,7.174930508677419,1306.2693234525395,6.447449684143066,631.0907579570903,gelu108,gelu108
2,6.422328885142263,615.4347232348817,6.004181239605663,405.11915738769926,gelu108,gelu108
3,6.06334645121724,429.8113756709343,5.752197982379328,314.882005324527,gelu108,gelu108
4,5.828102801586841,339.7135632757415,5.603543938080446,271.3864820871263,gelu108,gelu108
5,5.650098991203499,284.3196095712359,5.509922570363021,247.13199098643548,gelu108,gelu108
1,7.155961179590368,1281.7238127391336,6.403369150701236,603.8761641674497,gelu109,gelu109
2,6.351237534285783,573.2016269340772,5.919078303682201,372.0686215085721,gelu109,gelu109
3,5.9702171531471455,391.59069666990587,5.6766933214518165,291.98234013563905,gelu109,gelu109
4,5.731142439923206,308.32130581724954,5.539667840990182,254.59341991413856,gelu109,gelu109
5,5.550529556674557,257.37381384541794,5.453687930171342,233.61814656995085,gelu109,gelu109
6,5.410044266627385,223.64148731581955,5.37382402651255,215.6860820004791,gelu109,gelu109
7,5.29940576343746,200.2177978816527,5.324346951544909,205.27426264327212,gelu109,gelu109
8,5.206653092886422,182.48228373512,5.279220819401905,196.21692734967,gelu109,gelu109
9,5.131636414256367,169.29392649129898,5.2477056184452975,190.1295379321481,gelu109,gelu109
10,5.071209462610754,159.36695920784777,5.224213992932071,185.715139730404,gelu109,gelu109
11,5.022043209094982,151.72098501105185,5.209610944306625,183.02283826311293,gelu109,gelu109
12,4.985625260836118,146.29501898090408,5.196610431762485,180.65884740024543,gelu109,gelu109
13,4.961006543257615,142.73739497804667,5.18963757862912,179.40352147795517,gelu109,gelu109
14,4.944441001732033,140.39234983213137,5.187460064281428,179.01329275442396,gelu109,gelu109
15,4.936321802072592,139.25709124523203,5.186981135662071,178.92757869237565,gelu109,gelu109
1,7.163440915849897,1291.3467123275825,6.420448926350772,614.2788181837166,gelu11,gelu11
2,6.39307747020588,597.6931350817631,5.979916227895034,395.4072426708101,gelu11,gelu11
